2024-11-25 18:03:25.081 - MPKMini - INFO - Initializing Akai MPK Mini automation...
2024-11-25 18:03:25.116 - MPKMini - INFO - Pygame MIDI initialized successfully
2024-11-25 18:04:54.495 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.540 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.582 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.625 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.675 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.719 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.764 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.808 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.855 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.899 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.944 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:54.995 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:55.040 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:55.086 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:55.129 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:55.171 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:55.214 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:55.259 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:55.303 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:57.137 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 0.00%
2024-11-25 18:04:57.150 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 0.79%
2024-11-25 18:04:57.164 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 1.59%
2024-11-25 18:04:57.178 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 2.38%
2024-11-25 18:04:57.190 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 3.97%
2024-11-25 18:04:57.202 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 4.76%
2024-11-25 18:04:57.214 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 5.56%
2024-11-25 18:04:57.227 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 6.35%
2024-11-25 18:04:57.239 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 7.14%
2024-11-25 18:04:57.251 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 7.94%
2024-11-25 18:04:57.263 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 8.73%
2024-11-25 18:04:57.274 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 10.32%
2024-11-25 18:04:57.287 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 11.11%
2024-11-25 18:04:57.298 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 11.90%
2024-11-25 18:04:57.309 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 12.70%
2024-11-25 18:04:57.321 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 13.49%
2024-11-25 18:04:57.332 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 15.08%
2024-11-25 18:04:57.344 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 15.87%
2024-11-25 18:04:57.355 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 16.67%
2024-11-25 18:04:57.368 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 18.25%
2024-11-25 18:04:57.380 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 19.05%
2024-11-25 18:04:57.391 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 20.63%
2024-11-25 18:04:57.402 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 21.43%
2024-11-25 18:04:57.415 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 22.22%
2024-11-25 18:04:57.426 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 23.02%
2024-11-25 18:04:57.440 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 23.81%
2024-11-25 18:04:57.451 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 24.60%
2024-11-25 18:04:57.463 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 25.40%
2024-11-25 18:04:57.475 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 26.19%
2024-11-25 18:04:57.488 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 26.98%
2024-11-25 18:04:57.551 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 27.78%
2024-11-25 18:04:57.671 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 26.98%
2024-11-25 18:04:57.691 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 26.19%
2024-11-25 18:04:57.704 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 24.60%
2024-11-25 18:04:57.717 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 23.81%
2024-11-25 18:04:57.730 - MPKMini - INFO - Knob 1 (Spotify Volume) adjusted to 23.02%
